"Id","Prediction"
0,4322970.16550576
1,3492326.66700713
2,2708560.27798147
3,3333435.22278798
4,5141251.49812008
5,5171789.68324905
6,4010582.48457807
7,4328709.7366561
8,5174243.90860467
9,3748055.00679585
10,5603128.87013539
11,4524506.69001877
12,4236201.88373651
13,4744698.45349855
14,5997230.61591275
15,5336623.81736282
16,4195490.51652192
17,4030902.70292129
18,6980442.52606841
19,4449497.36777638
20,3291307.01667851
21,6089938.69180235
22,5011245.49477471
23,6021316.41685057
24,5889758.08861176
25,4168516.77417267
26,4046206.98602475
27,5020443.44318411
28,3403090.78233093
29,5647326.03486191
30,5006805.50140321
31,2926394.02513804
32,2708400.13260008
33,5711680.95067861
34,3024269.16676194
35,5810966.39241223
36,3928938.55902781
37,5192076.68305562
38,3593580.86736018
39,3639641.60350788
40,4786896.04891836
41,5151442.59716276
42,5338073.74947888
43,5684835.36511537
44,6555790.72286615
45,4735372.00433355
46,3412891.81653307
47,2698719.73304348
48,5056417.91500771
49,4714649.99013809
50,3792954.98061195
51,4645331.38205255
52,5733546.04665318
53,3256078.51946024
54,3458275.82021083
55,6726991.30841671
56,5603618.29701368
57,4763092.85568515
58,4127997.16809399
59,5501678.0804759
60,2920479.67237203
61,3483055.15527752
62,3895077.61721486
63,3873877.61167075
64,5617519.16992034
65,7096034.77351976
66,5169413.81321081
67,6811869.9432556
68,6434972.87015314
69,5267391.44253904
70,3608278.46538556
71,3185637.69199804
72,3592837.75440786
73,4022642.63645725
74,6459603.78986267
75,4523025.54076952
76,4952919.13320553
77,3701482.68610686
78,5379085.16786948
79,4544785.93521031
80,4800007.02494664
81,6021680.16264536
82,4152812.96113404
83,4110338.20443992
84,6990115.03925833
85,2383091.71589413
86,5771117.82064243
87,7083701.2413021
88,4933791.3090181
89,4122303.84514986
90,6089200.53500065
91,4589103.0935116
92,3458569.01967748
93,4480782.88876518
94,5403470.08306892
95,3713233.78611748
96,5036728.96896768
97,4265237.30131194
98,3763913.07800548
99,5320635.61730543
100,5007804.98229735
101,2569770.06881508
102,4268208.88882823
103,3854590.72707536
104,3819344.41063775
105,3446133.83068545
106,4293569.30218295
107,5763066.60783439
108,5872499.15427513
109,5444400.71532199
110,4821363.34406616
111,3764732.309366
112,6885250.78493936
113,4998200.04107321
114,4218489.83278408
115,5981976.43990337
116,3562406.20557016
117,5084150.09837174
118,4180144.65921135
119,6437982.90792196
120,5998981.36879849
121,5843368.22860424
122,4901905.11153061
123,5200002.93841825
124,4188512.50765992
125,3579575.56559839
126,5945259.11426499
127,3596632.33295389
128,4297839.3824141
129,4467375.86256096
130,2558560.97489743
131,4634686.52504086
132,6655813.18512018
133,3867138.90090899
134,4586395.24474264
135,3916517.32859682
136,4397279.55304381
137,4613312.718631
138,4670469.83821375
139,3832835.60700121
140,6464050.41757721
141,2888683.63858339
142,5671718.0219974
143,2771423.79005884
144,4852612.33896638
145,3710523.40352032
146,5746380.43744369
147,4280573.84449222
148,4720233.41304962
149,5430744.91913286
150,3791726.59597533
151,3113314.14017708
152,6955563.55178059
153,6273850.38659054
154,3306142.75943354
155,5098531.41473668
156,4119352.9317004
157,6847374.75796421
158,4255332.08716455
159,4106814.12974518
160,2922492.16634307
161,3607994.40976365
162,3833838.7368168
163,6329539.20746139
164,6309573.74953076
165,2711066.19575596
166,3468799.24225782
167,3228685.18767392
168,6281472.16687326
169,5267476.75678346
170,3810341.91895581
171,2911868.68494245
172,3042798.8212726
173,5526471.80242025
174,6482610.03116672
175,4061799.00390725
176,7367049.96723759
177,7030606.4299255
178,3451212.38909897
179,3139598.81834046
180,4355757.36363239
181,3442220.94095697
182,5093155.21193055
183,4433957.64170808
184,5356734.82463425
185,4058512.22349423
186,3493214.48676019
187,6252839.63621306
188,7211455.73086144
189,4743966.75671526
